播主名称,ID,头像,认证信息,行业,内容标签,总粉丝,飞瓜指数,总作品,总点赞,,,,,,
原神,yuanshen_mihoyo,https://p11.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_980d58907aeb49ad98eee954b5737a87.heic?from=2956013662,上海米哈游影铁科技有限公司,游戏,,8522435,1043.1,1349,148913469,,,,,,
标题,视频发布时间,视频时长,视频链接,视频热度,热词Top3,视频销售额,视频销量,点赞,评论,分享,收藏,互动量,互动率,GPM,播放量
"#原神  #原神三星堆  #原神三星堆联动 
亲爱的旅行者，《原神》三星堆联动主题表情包「派蒙的画作三星堆联动篇」已陆续开放下载，欢迎前往【抖音表情包商城】下载使用！",2023/12/31 12:18,15秒,https://www.douyin.com/share/video/7318608312747003146/?mid=7318608420246932251,41.39,"皮肤,原神,表情包",--,--,129889,2914,1808,6631,141242,9.01%,0,1568207
#原神 元旦快乐｜练习枪法可不能饿着肚子。先来吃饭吧。,2024/1/1 12:01,17秒,https://www.douyin.com/share/video/7318975079344327974/?mid=7318975177201634074,40.02,"邮箱,老登,原石",--,--,116263,3595,1627,4358,125843,6.68%,0,1885171
"#原神 《原神》2024萤火虫31ST-参展回顾 
感谢各位旅行者的到来，我们一起来回顾展会中快乐的时光吧！",2024/1/2 18:03,1分28秒,https://www.douyin.com/share/video/7319439428156509449/?mid=7319439568405629734,13.42,"老登,能不能,海灯节",--,--,26045,1059,680,1102,28886,4.75%,0,608150
#原神 《原神》寻味之旅——「璃月食集」第六期,2024/1/3 12:01,5分15秒,https://www.douyin.com/share/video/7319717284262497563/?mid=7319717374437100307,15.05,"老登,原神,刻晴",--,--,37068,931,1721,1982,41702,4.43%,0,940418
#原神 流浪者生日快乐｜没有被人跟踪吧？…哼，姑且信你。,2024/1/3 12:01,16秒,https://www.douyin.com/share/video/7319717302792965414/?mid=7319717370625067785,55.88,"生日快乐,散宝,快乐",--,--,265266,22377,11740,32045,331428,11.53%,0,2873424
#原神 #原神枫丹  《原神》角色演示-「夏沃蕾：弹无虚发」,2024/1/5 12:05,1分21秒,https://www.douyin.com/share/video/7320460494303759626/?mid=7320460568513481510,16.93,"夏沃蕾,角色,枫丹",--,--,56278,1609,1549,2700,62136,5.24%,0,1184832
#原神  #原神亚洲赛 《原神》七圣召唤亚洲邀请赛宣传片-「决斗，即将上演！」,2024/1/5 18:02,2分35秒,https://www.douyin.com/share/video/7320552448844664090/?mid=7320552525894060839,18.08,"七圣召唤,宣传,花钱",--,--,73136,1654,1097,1857,77744,12.40%,0,627197
"#原神  #夏沃蕾 #原神枫丹  
「放心，即使是在雨里，我的铳枪依旧能够正常开火。」——「明律决罚」·夏沃蕾",2024/1/8 18:02,22秒,https://www.douyin.com/share/video/7321665533269626121/?mid=7321665627075136295,18.74,"bgm,夏沃蕾,雷神",--,--,84441,2529,1735,2888,91593,7.27%,0,1259726
#原神  #原神枫丹   #娜维娅   ▌明花蔓舵·娜维娅（ 「刺玫的铭誓」活动祈愿即将结束，2024年1月9日17:59前，限定5星角色「明花蔓舵·娜维娅(岩)」概率UP。）,2024/1/8 18:02,13秒,https://www.douyin.com/share/video/7321665557454015781/?mid=7321665663603444499,18.44,"维娅,雷神,米哈游",--,--,78768,1982,1120,2596,84466,6.78%,0,1245754
"#原神 #原神三星堆推广曲 #原神三星堆联动 【刘欢】原神×三星堆博物馆联动推广曲《青铜》

出品：HOYO-MiX
作曲：李洋 Yang Li  (HOYO-MiX)
作词：方文山
演唱：刘欢",2024/1/9 12:01,3分58秒,https://www.douyin.com/share/video/7321943701834501402/?mid=7321943817731541811,49.37,"方文山,原神,刘欢",--,--,199218,8891,20228,11065,239402,10.25%,0,2335194
#原神 托马生日快乐｜让我猜猜，是你送的吧？,2024/1/9 12:02,15秒,https://www.douyin.com/share/video/7321944030231792947/?mid=7321944169205975835,17.29,"托马,生日快乐,蒙德",--,--,60676,1358,447,1701,64182,8.11%,0,790947
#原神 《原神》拾枝杂谈-「夏沃蕾：遵行为要」,2024/1/9 18:05,5分18秒,https://www.douyin.com/share/video/7322037645494766885/?mid=7322037743800814374,12.53,"雷神,夏沃蕾,老登",--,--,21422,1997,290,1016,24725,4.56%,0,542098
#原神 夏沃蕾生日快乐｜中午好，我正打算去特巡队食堂吃饭，要一起吗？,2024/1/10 12:01,16秒,https://www.douyin.com/share/video/7322314707317198131/?mid=7322314766779763495,17.73,"生日快乐,夏沃蕾,生日",--,--,67012,1589,552,2491,71644,8.69%,0,824469
#原神     #原神亚洲赛  七圣召唤亚洲邀请赛小组赛1月11日15点正式开启！,2024/1/11 14:01,9秒,https://www.douyin.com/share/video/7322716928982732058/?mid=7322717003708680999,17.31,"七圣召唤,迪希雅,宕机",--,--,60962,790,508,1490,63750,8.52%,0,748079
