播主名称,ID,头像,认证信息,行业,内容标签,总粉丝,飞瓜指数,总作品,总点赞,,,,,,
原神,yuanshen_mihoyo,https://p11.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_980d58907aeb49ad98eee954b5737a87.heic?from=2956013662,上海米哈游影铁科技有限公司,游戏,,8522435,1043.1,1349,148913469,,,,,,
标题,视频发布时间,视频时长,视频链接,视频热度,热词Top3,视频销售额,视频销量,点赞,评论,分享,收藏,互动量,互动率,GPM,播放量
#原神 心朝乂安·鹿野院平藏|天衣但无缝，也惧凉风吹。,2022/5/16 18:02,图文视频,https://www.douyin.com/share/video/7098272497824484642/?mid=7059978932795345703,14.52,"风系,小男孩,万叶",--,--,22174,3666,3174,819,29833,0.00%,0,536960
#原神 五郎生日快乐｜没想到今天能收到这么精致的生日蛋糕，谢谢你！,2022/5/18 12:00,11秒,https://www.douyin.com/share/video/7098921286801362183/?mid=7098921353041955597,52.88,"生日快乐,五郎,希娜",--,--,275780,21389,4634,9942,311745,0.00%,0,3824014
#原神 #荒梦藏虞渊 亲爱的旅行者，《原神》2.7版本前瞻特别节目将于5月20日（本周五）晚20:00正式开启。,2022/5/19 19:48,图文视频,https://www.douyin.com/share/video/7099412930776550671/?mid=7074792272449358600,14.03,"刻晴,原石,复刻",--,--,21449,5390,3765,689,31293,0.00%,0,517333
#原神 #荒梦藏虞渊 《原神》2.7版本PV：「荒梦藏虞渊」,2022/5/20 20:41,3分32秒,https://www.douyin.com/share/video/7099797593663753479/?mid=7099797793342114591,23.88,"UAK2VSX9376A,KS4XTXB96MPA,CS4WBFBQ6LPW",--,--,108152,12232,10301,4757,135442,0.00%,0,1932018
#原神 #荒梦藏虞渊 《原神》2.7版本「荒梦藏虞渊」前瞻特别节目回顾,2022/5/20 21:54,图文视频,https://www.douyin.com/share/video/7099816631286828322/?mid=7099779652788456196,13.02,"万叶,复刻,原石",--,--,17314,1432,1465,604,20815,0.00%,0,548121
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|开场,2022/5/21 10:00,1分41秒,https://www.douyin.com/share/video/7099858572246289695/?mid=7099858933140982558,50.36,"坤坤,老师,一斗",--,--,334320,11458,7105,11445,364328,0.00%,0,4190338
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|夜兰介绍,2022/5/21 11:00,5分17秒,https://www.douyin.com/share/video/7099860495791885581/?mid=7099860875812621093,20.48,"夜兰,夜阑,万叶",--,--,90441,3660,2056,1836,97993,0.00%,0,1720554
#原神 云堇生日快乐｜谢谢你来捧场。方才一曲如何？,2022/5/21 12:00,11秒,https://www.douyin.com/share/video/7100034611845156132/?mid=7100034717533195022,43.16,"生日快乐,云先生,云堇",--,--,189627,4636,1579,4971,200813,0.00%,0,2692896
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|魔神任务预告,2022/5/21 14:00,2分5秒,https://www.douyin.com/share/video/7099865090094042376/?mid=7099865608635861796,21.37,"坤坤,三神,开大能",--,--,111271,3898,870,2634,118673,0.00%,0,2137400
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|久岐忍介绍 ,2022/5/21 16:00,4分26秒,https://www.douyin.com/share/video/7099867918615186701/?mid=7099867324877916964,18.21,"阿卡丽,保底,刻晴",--,--,53689,1841,1473,1494,58497,0.00%,0,1075249
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|《千岩旷望》专辑即将上架,2022/5/21 18:00,38秒,https://www.douyin.com/share/video/7099867657276525832/?mid=7099868094373333773,15.05,"刻晴,复刻,老师",--,--,26698,621,152,570,28041,0.00%,0,939022
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|「危途疑踪」活动介绍,2022/5/21 20:00,1分55秒,https://www.douyin.com/share/video/7099868541041642789/?mid=7099869087588731678,11.96,"开团,直播,快点",--,--,13869,565,137,342,14913,0.00%,0,508948
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|「深泥奇谭」活动介绍,2022/5/21 22:00,1分31秒,https://www.douyin.com/share/video/7099869422399032589/?mid=7099869923421522724,16.48,"雾切,万叶,官方",--,--,36460,1333,266,661,38720,0.00%,0,1240468
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|「荒泷极上盛世豪鼓大祭典」活动介绍,2022/5/22 10:00,2分17秒,https://www.douyin.com/share/video/7099870148496067853/?mid=7099871780801760031,17.57,"刻晴,老师,狂喜",--,--,46492,1436,614,917,49459,0.00%,0,1405017
#原神 #荒梦藏虞渊2.7版本前瞻特别节目|「炉心机造」活动介绍,2022/5/22 12:00,1分27秒,https://www.douyin.com/share/video/7099874160322546952/?mid=7099874599470451486,17.71,"开团,刻晴,原石",--,--,48038,3062,693,969,52762,0.00%,0,1650912
#原神 #荒梦藏虞渊 《原神》夜兰角色PV——「天网恢恢」,2022/5/25 12:01,1分14秒,https://www.douyin.com/share/video/7101519233477020941/?mid=7101519360543476488,64.94,"夜兰,夜阑,姐姐",--,--,598195,37107,42731,29622,707655,0.00%,0,7007986
#原神菲谢尔生日快乐｜本皇女恩许你一同沐浴这荣光！,2022/5/27 12:02,13秒,https://www.douyin.com/share/video/7102261475011529992/?mid=7102261600689605413,45.87,"生日快乐,小艾咪,皇女",--,--,241234,11372,2139,6478,261223,0.00%,0,3622455
#原神 #荒梦藏虞渊 《原神》角色演示-「夜兰：晦雨幽客行」,2022/5/30 12:00,2分33秒,https://www.douyin.com/share/video/7103374391676882190/?mid=7103374520141613838,25.79,"夜兰,上海,姐姐",--,--,84856,16376,15335,3934,120501,0.00%,0,1720154
"#原神 #荒梦藏虞渊 《原神》拾枝杂谈-「夜兰：弢迹匿光」
",2022/5/31 12:07,5分56秒,https://www.douyin.com/share/video/7103747279508573477/?mid=7103747505409837837,21.44,"夜兰,歪刻,刻晴",--,--,113082,6750,1426,2247,123505,0.00%,0,2194944
#原神 荒泷一斗生日快乐｜来，祝本大爷生日快乐！干杯！,2022/6/1 12:00,10秒,https://www.douyin.com/share/video/7104116522171337997/?mid=7104116602282527524,46.85,"生日快乐,放牛,一斗",--,--,260695,6945,2973,6835,277448,0.00%,0,3609346
#原神 派蒙生日快乐｜哇，好多史莱姆气球！都是你一个人做的吗！,2022/6/1 12:00,14秒,https://www.douyin.com/share/video/7104116559722941710/?mid=7104116679558384415,54.22,"生日快乐,派蒙,飞行",--,--,463531,17970,5809,14732,502042,0.00%,0,5424085
#原神 #荒梦藏虞渊 《原神》剧情PV-「惟余旧忆」,2022/6/2 18:04,3分53秒,https://www.douyin.com/share/video/7104581430851783972/?mid=7104581597118221086,23.71,"夜叉,米哈,剧情",--,--,98765,10274,13813,9638,132490,0.00%,0,1628746
#原神 端午佳节｜“加点绝云椒椒的话…”,2022/6/3 12:02,17秒,https://www.douyin.com/share/video/7104859234965196045/?mid=7104859409959963429,23.27,"夜叉,重云,原石",--,--,174816,6318,2020,4449,187603,0.00%,0,2396833
#原神 #荒梦藏虞渊 《原神》危途疑踪过场动画——「生死一刹」,2022/6/5 12:00,3分57秒,https://www.douyin.com/share/video/7105600903180209438/?mid=7105601084735228702,20.14,"刻晴,帝君,钟离",--,--,83531,6523,8852,7453,106359,0.00%,0,1542090
#原神 丽莎生日快乐｜好久不见，小可爱。今天来找姐姐是为何事？,2022/6/9 12:02,16秒,https://www.douyin.com/share/video/7107085690785090852/?mid=7107085907395676959,47.8,"丽莎,生日快乐,姐姐",--,--,280045,9212,2070,7979,299306,0.00%,0,3966864
#原神 温迪生日快乐｜呀——吼——抬头，我在这里哟！,2022/6/16 12:00,17秒,https://www.douyin.com/share/video/7109682850806451493/?mid=7109682968763108109,20.77,"温迪,生日快乐,托斯",--,--,96790,7608,2990,5093,112481,0.00%,0,1547648
#原神 #荒梦藏虞渊 《原神》角色演示-「久岐忍：百业通才」,2022/6/17 12:01,1分10秒,https://www.douyin.com/share/video/7110053948500823310/?mid=7110054184606583566,46.84,"小心,阿忍,证考",--,--,260505,11709,6879,8125,287218,0.00%,0,3637117
#原神 #荒梦藏虞渊 《原神》EP - 花坂豪情之志,2022/6/20 12:03,4分35秒,https://www.douyin.com/share/video/7111167912794180878/?mid=7111168109779716895,22.23,"一斗,刻晴,斗子",--,--,136512,15250,1771,3285,156818,0.00%,0,2294954
#原神 宵宫生日快乐｜嘿嘿，那么，该放烟花咯——,2022/6/21 12:00,15秒,https://www.douyin.com/share/video/7111538244289940766/?mid=7111538355199953671,52.95,"宵宫,生日快乐,生日",--,--,434943,17611,8527,16896,477977,0.00%,0,4550447
#原神 #荒梦藏虞渊 《原神》拾枝杂谈-「久岐忍：逐殃解厄」,2022/6/21 18:35,4分19秒,https://www.douyin.com/share/video/7111640034503150884/?mid=7111640215621618439,47.11,"一斗,久岐忍,阿忍",--,--,211246,20167,3393,5458,240264,0.00%,0,3297326
#原神 雷电将军生日快乐｜你能记得与我有关的瞬间，我很高兴。,2022/6/26 12:03,14秒,https://www.douyin.com/share/video/7113394425870421284/?mid=7113394555667417870,58.8,"生日快乐,将军,生日",--,--,509592,20859,11296,23473,565220,0.00%,0,4720958
#原神 八重神子生日快乐｜如你所见，我刚读完八重堂递交过来的小说原稿,2022/6/27 12:01,14秒,https://www.douyin.com/share/video/7113764968708787464/?mid=7113765091488582437,21.88,"生日快乐,神子,老婆",--,--,125596,6102,2476,4430,138604,0.00%,0,1601918
#仲夏幻夜奇想曲 #原神 亲爱的旅行者，《原神》2.8版本前瞻特别节目将于7月2日（本周六）晚20:00正式开启。,2022/6/30 12:04,图文视频,https://www.douyin.com/share/video/7114879010261224738/?mid=7104116679558384415,27.4,"万叶,原石,前瞻",--,--,116251,26047,13032,3588,158918,0.00%,0,2299360
#原神 #仲夏幻夜奇想曲    《原神》2.8版本PV：「仲夏！幻夜？奇想曲！」,2022/7/2 20:41,3分30秒,https://www.douyin.com/share/video/7115754466044890401/?mid=7115754629144808229,63.25,"万叶,小鹿,保底",--,--,525903,37746,32146,26725,622520,0.00%,0,7110361
#原神 #仲夏幻夜奇想曲2.8版本前瞻特别节目|全新地区场景展示  ,2022/7/2 21:32,1分38秒,https://www.douyin.com/share/video/7115767149364268302/?mid=7115767539405261575,23.86,"草神,须弥,声音",--,--,107175,12729,10664,3772,134340,0.00%,0,1571263
《原神》2.8版本前瞻特别节目回顾。#原神 #仲夏幻夜奇想曲 《原神》2.8版本「仲夏！幻夜？奇想曲！」前瞻特别节目回顾,2022/7/2 21:54,图文视频,https://www.douyin.com/share/video/7115773255222316303/?mid=7115726165075168031,14.54,"万叶,可莉,卢克",--,--,23913,6922,1993,757,33585,0.00%,0,700649
#原神? #仲夏幻夜奇想曲  2.8版本前瞻特别节目|开场,2022/7/2 22:05,52秒,https://www.douyin.com/share/video/7115776026935971085/?mid=7115776273334520590,17.07,"万叶,可莉,刻晴",--,--,41610,2444,249,874,45177,0.00%,0,1406351
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|CV嘉宾介绍,2022/7/2 23:00,1分20秒,https://www.douyin.com/share/video/7115759049710308646/?mid=7115759310914816798,19.46,"万叶,莫娜,保底",--,--,71351,14510,360,1299,87520,0.00%,0,1768295
#原神 #仲夏幻夜奇想曲2.8版本前瞻特别节目|万叶传说任务：「枫红之章」第一幕   ,2022/7/3 10:00,2分11秒,https://www.douyin.com/share/video/7115763808332762371/?mid=7115762769760209672,15.38,"万叶,保底,关服",--,--,28652,7806,322,684,37464,0.00%,0,929005
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|鹿野院平藏角色介绍,2022/7/3 11:00,3分56秒,https://www.douyin.com/share/video/7115763418220465420/?mid=7115763716129721096,14.85,"万叶,小鹿,朋友",--,--,25639,3949,322,655,30565,0.00%,0,910104
#原神 #仲夏幻夜奇想曲    《原神》提瓦特风尚·衣装PV - 幕夜暗像,2022/7/3 12:00,55秒,https://www.douyin.com/share/video/7115991283906186503/?mid=7115991406904167176,50.87,"卢克,姥爷,皮肤",--,--,220194,22775,15570,8570,267109,0.00%,0,2875652
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|鹿野院平藏角色演示,2022/7/3 14:00,4分41秒,https://www.douyin.com/share/video/7115763164721057057/?mid=7115764049908042504,20.01,"万叶,小鹿,法师",--,--,81254,6179,4036,2251,93720,0.00%,0,1588488
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|「必胜邀约」必胜客联动,2022/7/3 16:00,1分15秒,https://www.douyin.com/share/video/7115765330596678943/?mid=7115765519983971103,15.89,"必胜客,原披,披萨",--,--,32113,3410,1833,1038,38394,0.00%,0,832755
#原神 #仲夏幻夜奇想曲   2.8版本前瞻特别节目|珍珠之歌2专辑预告,2022/7/3 18:00,20秒,https://www.douyin.com/share/video/7115765933217418526/?mid=7115766070874000135,19.21,"万叶,刻晴,扣一",--,--,67578,12180,342,1380,81480,0.00%,0,2026888
#原神 #仲夏幻夜奇想曲2.8版本前瞻特别节目|「幻声留形」活动   ,2022/7/3 20:00,1分51秒,https://www.douyin.com/share/video/7115774383939013919/?mid=7115766668610751239,14.46,"万叶,直播,可莉",--,--,23572,3091,319,477,27459,0.00%,0,1087784
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|迪卢克新衣装、其他活动展示,2022/7/3 22:00,3分35秒,https://www.douyin.com/share/video/7115775010802797837/?mid=7115775194389531405,16.67,"卢克,姥爷,万叶",--,--,38242,2747,596,825,42410,0.00%,0,1268348
#原神 #仲夏幻夜奇想曲  2.8版本前瞻特别节目|「远海诗夏游纪」活动介绍,2022/7/4 10:00,4分10秒,https://www.douyin.com/share/video/7115775162749881613/?mid=7115775651419835143,13.38,"万叶,刻晴,全歪",--,--,18813,1789,103,381,21086,0.00%,0,918021
#原神 #仲夏幻夜奇想曲2.8版本前瞻特别节目|「追想练行」活动介绍  ,2022/7/4 12:00,3分37秒,https://www.douyin.com/share/video/7115775870286974215/?mid=7115776075526834981,16.08,"万叶,刻晴,联机",--,--,33764,5838,437,597,40636,0.00%,0,1265629
#原神? 芭芭拉生日快乐｜传说风起地的风可以指引人们前进，驱散困顿。,2022/7/5 12:05,15秒,https://www.douyin.com/share/video/7116734760747076878/?mid=7116734836055804709,46.17,"芭芭拉,生日快乐,笑笑",--,--,243806,10211,1848,4967,260832,0.00%,0,3555192
#原神 #仲夏幻夜奇想曲  《原神》角色演示-「鹿野院平藏：风暴搜查线」,2022/7/8 12:00,1分19秒,https://www.douyin.com/share/video/7117846665167375630/?mid=7117846762454371108,54.8,"小鹿,外遇,万叶",--,--,378984,34527,21997,15697,451205,0.00%,0,5183854
#原神随变 随变 x 原神联名款「球球彩巧」系列冰淇淋正式上线！,2022/7/8 12:14,1分7秒,https://www.douyin.com/share/video/7117850086499011847/?mid=7117850263125560101,65.76,"雪糕,刺客,皮肤",--,--,528880,53720,56795,23664,663059,0.00%,0,7244122
#原神 《原神》须弥前瞻短片01——神奇的草元素,2022/7/9 12:06,2分45秒,https://www.douyin.com/share/video/7118219159523101982/?mid=7118219357427452709,53.25,"鸡哥,须弥,内鬼",--,--,202982,32958,46123,8022,290085,0.00%,0,2954919
"#原神? 《原神·提瓦特篇》幕间PV-「冬夜愚戏」
",2022/7/11 12:28,4分11秒,https://www.douyin.com/share/video/7118967005012659493/?mid=7118967258432817933,69.67,"投敌,愚人,附体",--,--,605231,122928,129395,76006,933560,0.00%,0,7020026
#原神 浅蔚轻行 ·提纳里|幽林狐影，葱茏随行,2022/7/11 15:29,图文视频,https://www.douyin.com/share/video/7119013784806624547/?mid=7119013230357629727,16.13,"原宝,内鬼,提纳里",--,--,34439,4032,4440,1169,44080,0.00%,0,1247490
#原神 萃念初蘖 ·柯莱|成长，即是战胜过去,2022/7/11 15:32,图文视频,https://www.douyin.com/share/video/7119014699697507625/?mid=7119013230357629727,16.56,"内鬼,柯莱,原宝",--,--,37898,3570,4269,1280,47017,0.00%,0,1424602
#原神 梦园藏金 ·多莉|摩拉多多，快乐多多！,2022/7/11 15:33,图文视频,https://www.douyin.com/share/video/7119014935031581992/?mid=7119013230357629727,17.17,"内鬼,原宝,官方",--,--,43397,5522,4586,1221,54726,0.00%,0,1485779
 #原神 《原神》EP - 拨云见日之曦 ,2022/7/12 12:04,3分56秒,https://www.douyin.com/share/video/7119331859678481678/?mid=7119332116009782030,58.73,"万叶,保底,米哈",--,--,318030,62823,14991,12242,408086,0.00%,0,4184367
#原神 #仲夏幻夜奇想曲《原神》拾枝杂谈-「鹿野院平藏：疾风破局」  ,2022/7/13 12:12,5分14秒,https://www.douyin.com/share/video/7119705135911062815/?mid=7119705365440154376,21.82,"万叶,小鹿,保底",--,--,131083,12007,1317,3483,147890,0.00%,0,2277273
#原神? 九条裟罗生日快乐｜正是心中不变不移的愿望，让我能始终正中目标,2022/7/14 12:01,11秒,https://www.douyin.com/share/video/7120073412751412510/?mid=7120073498378226468,53.45,"生日快乐,九条,生日",--,--,332314,15156,2175,7974,357619,0.00%,0,4070519
#原神? 胡桃生日快乐｜——啊哈！吓到了吗？,2022/7/15 12:03,12秒,https://www.douyin.com/share/video/7120444986411339016/?mid=7120445111305112333,59.56,"生日快乐,胡桃,堂主",--,--,500554,27201,9262,21607,558624,0.00%,0,5452182
#原神 #仲夏幻夜奇想曲  《原神》剧情PV-「辉金盛夏」,2022/7/19 18:05,3分2秒,https://www.douyin.com/share/video/7122022657117277477/?mid=7122022742911748900,16.79,"万叶,剧情,活动",--,--,41267,5828,2481,2412,51988,0.00%,0,688763
#原神 #仲夏幻夜奇想曲《原神》剧情PV-「辉金盛夏」（枫原万叶）  ,2022/7/19 20:00,48秒,https://www.douyin.com/share/video/7122052253887859975/?mid=7122052350558948133,20.5,"万叶,解密,活动",--,--,96037,7151,5619,5244,114051,0.00%,0,1675751
#原神 #仲夏幻夜奇想曲  《原神》剧情PV-「辉金盛夏」（辛焱）,2022/7/19 22:00,36秒,https://www.douyin.com/share/video/7122024613256695077/?mid=7122024694621997861,16.83,"原宝,辛焱,解密",--,--,41618,4613,1934,1918,50083,0.00%,0,705728
#原神? #仲夏幻夜奇想曲  《原神》剧情PV-「辉金盛夏」（菲谢尔）,2022/7/20 10:00,40秒,https://www.douyin.com/share/video/7122025876430032141/?mid=7122025935537867534,19.84,"解密,秘境,简单",--,--,82411,4588,2158,2817,91974,0.00%,0,1571851
#原神 达达利亚生日快乐｜你来了啊，伙伴，比我预计得还快了点！,2022/7/20 12:01,15秒,https://www.douyin.com/share/video/7122299874455948558/?mid=7122299941278698277,22.1,"生日快乐,鸭鸭,公子",--,--,139873,12951,4469,5194,162487,0.00%,0,1672384
"《原神》表情包「派蒙的画作」现已上架抖音。#原神 亲爱的旅行者，《原神》表情包「派蒙的画作」现已上架抖音平台，欢迎前往【抖音】下载使用！ 
抖音表情包获取Tips：
1-前往抖音搜索「原神表情包」；
2-点击「去添加」进入原神表情包界面；
3-选择相应表情包，点击「添加」即可获得；
4-获得表情包后，旅行者可在「私信」及「评论界面」使用。",2022/7/20 12:04,图文视频,https://www.douyin.com/share/video/7122300765863038208/?mid=7104116679558384415,25.08,"刻晴,万叶,卢克",--,--,137672,26250,2070,5799,171791,0.00%,0,2929211
#原神 #仲夏幻夜奇想曲  《原神》剧情PV-「辉金盛夏」（莫娜）,2022/7/20 14:00,53秒,https://www.douyin.com/share/video/7122026213492673829/?mid=7122026300328364830,19.65,"刻晴,活动,莫娜",--,--,79671,6850,1854,3006,91381,0.00%,0,1382305
#原神 #仲夏幻夜奇想曲《原神》须弥前瞻短片02——细雨与飞沙  ,2022/7/23 20:03,3分32秒,https://www.douyin.com/share/video/7123537387732421895/?mid=7123537508784294669,55.34,"须弥,沙漠,内存",--,--,349612,41688,33820,10894,436014,0.00%,0,4749470
#原神 鹿野院平藏生日快乐｜呵欠…哎呀呀，你来了！,2022/7/24 12:00,11秒,https://www.douyin.com/share/video/7123784074371665188/?mid=7123784154097306398,55.19,"小鹿,生日快乐,生日",--,--,401577,33303,11217,19230,465327,0.00%,0,4856137
#原神 可莉生日快乐｜妈妈说，有好东西就要和朋友一起分享。,2022/7/27 12:01,17秒,https://www.douyin.com/share/video/7124897458320149796/?mid=7124897526355970829,21.73,"可莉,生日快乐,女儿",--,--,129414,11408,5461,4840,151123,0.00%,0,1763954
#原神 久岐忍生日快乐｜谢谢你的关照，那么接下来…,2022/7/27 12:01,15秒,https://www.douyin.com/share/video/7124897492973423879/?mid=7124897550927874847,19.88,"生日快乐,阿忍,刻晴",--,--,83877,4129,1194,2515,91715,0.00%,0,1471743
#原神 #可莉感谢杭州湖滨银泰in77 和可莉一起玩！,2022/7/27 22:47,22秒,https://www.douyin.com/share/video/7125064013129583880/?mid=7125064066069973790,21.85,"可莉,女儿,杭州",--,--,133284,10994,5582,2638,152498,0.00%,0,1736367
#原神 烟绯生日快乐｜「祝贺生日的卡片」？嗯，很新奇的玩意儿嘛！,2022/7/28 12:02,13秒,https://www.douyin.com/share/video/7125268822105361701/?mid=7125268895090363167,21.92,"生日快乐,画师,生日",--,--,135237,9669,2886,4247,152039,0.00%,0,1807963
#原神 《原神》须弥前瞻短片03——明慧的序曲,2022/7/29 12:03,3分9秒,https://www.douyin.com/share/video/7125640084539362591/?mid=7125640197127047972,28.54,"须弥,刻晴,草神",--,--,150654,23981,21678,6029,202342,0.00%,0,2261760
#原神 #原神同人绘 《原神》7月同人绘画展示，感谢旅行者们的创作。,2022/7/30 12:01,图文视频,https://www.douyin.com/share/video/7126010819111881999/?mid=7104116679558384415,58.67,"官方,万叶,公子",--,--,333826,19209,36695,28652,418382,0.00%,0,3442021
#原神 《原神》小剧场——「璃月雅集」第五期|开场动画-《内部推荐》,2022/7/31 12:00,55秒,https://www.douyin.com/share/video/7126186563356069127/?mid=7126186730864397063,46.19,"语音,系统,表情包",--,--,194155,17574,7377,5997,225103,0.00%,0,3539046
#原神 《原神》小剧场——「璃月雅集」第五期|CV介绍及试音分享,2022/8/1 11:00,14分26秒,https://www.douyin.com/share/video/7126192773690182948/?mid=7126193122412972814,20.06,"刻晴,卡痰,复刻",--,--,87569,5140,1429,3739,97877,0.00%,0,1682236
"#原神 #仲夏幻夜奇想曲  #远岛霁夏《原神》「远岛霁夏」海岛主题视频征集活动今日开启，期待旅行者的精彩视频投稿~ 
〓活动时间〓
2022年8月1日——2022年8月17日 
〓参与方式〓
见视频详情 
〓活动奖励〓
见视频详情 
〓注意事项〓
一、禁止发布一切违反法律法规或社区规则的内容；
二、禁止发布与本话题无关的内容（包括但不限于含有广告链接、其他宣传等内容）；
三、本次活动旅行者可多次参与，每人至多获得一个奖项，奖励不可叠加，以最高奖项为准；
四、本次活动根据作品的内容、评论点赞等因素进行综合评价；
五、获奖名单（活动发布平台的账号昵称）将在活动结束后10个工作日内公布，请获奖的旅行者及时关注官方信息，并在规定时间内容工作日内提交获奖信息，逾期视为自动放弃奖励，活动奖励将在获奖信息收集完毕后通过邮寄方式送达旅行者手中，请获奖的旅行者耐心等待；
六、严禁抄袭、盗用、侵犯他人著作权，如有引用或需授权请注明来源并自行取得。 ",2022/8/1 12:01,19秒,https://www.douyin.com/share/video/7126753034440330533/?mid=7126753115596049160,22.69,"刻晴,万叶,原石",--,--,162456,5592,1038,2728,171814,0.00%,0,2739039
"#原神 #原神同人绘 《原神》「逃跑的太阳」可莉同人绘画作品展示 
*作品所涉及内容均为玩家二次创作，不代表游戏内实际剧情及设定。",2022/8/1 18:02,图文视频,https://www.douyin.com/share/video/7126845946071141667/?mid=7125064066069973790,16.14,"可莉,女儿,刻晴",--,--,36083,3720,1530,1707,43040,0.00%,0,897782
"#原神 #原神同人绘 《原神》「红叶逐荒波」枫原万叶同人绘画作品展示 
*作品所涉及内容均为玩家二次创作，不代表游戏内实际剧情及设定。",2022/8/1 18:06,图文视频,https://www.douyin.com/share/video/7126847158598241571/?mid=7024340902046878478,14.13,"官方,联动,广州",--,--,23300,1649,931,1126,27006,0.00%,0,499453
#原神《原神》小剧场——「璃月雅集」第五期|CV分享、神女劈观试音幕后,2022/8/2 11:01,17分44秒,https://www.douyin.com/share/video/7127108553571142942/?mid=7127108754054662945,17.96,"复刻,申鹤,卡痰",--,--,54075,2415,354,1315,58159,0.00%,0,1609186
#原神 《原神》EP - 硝彩盛放之光,2022/8/2 12:01,4分18秒,https://www.douyin.com/share/video/7127123947719511327/?mid=7127124028430486303,25.4,"宵宫,保底,飞雷",--,--,156465,21367,3536,3990,185358,0.00%,0,2484603
#原神 《原神》小剧场——「璃月雅集」第五期|快找个厂上班吧,2022/8/3 12:00,13分7秒,https://www.douyin.com/share/video/7127243988419087630/?mid=7127244131881126664,22.03,"刻晴,上班,复刻",--,--,139067,10809,3765,4841,158482,0.00%,0,2747000
#原神 《原神》小剧场——「璃月雅集」第五期|擅长聊天真君,2022/8/4 12:00,19分14秒,https://www.douyin.com/share/video/7127617111249227015/?mid=7127617309211986701,18.86,"卡痰,刻晴,hello",--,--,66323,6404,596,1862,75185,0.00%,0,1861382
#原神 安柏生日快乐｜你来啦！嘿嘿，等你好久了。,2022/8/10 12:01,11秒,https://www.douyin.com/share/video/7130092642800585997/?mid=7130092684185832229,21.97,"生日快乐,安柏,生日",--,--,137088,8817,1194,2726,149825,0.00%,0,1732447
"#原神 #原神须弥 《原神》须弥CM短片
",2022/8/11 12:12,29秒,https://www.douyin.com/share/video/7130466492046429453/?mid=7130466595079506701,68.64,"动漫,直播,草神",--,--,620397,56869,61204,31912,770382,0.00%,0,7249812
"#原神  旅行者们大家好，又到了派蒙的预告时间ヾ(≧?≦*)ゝ
《原神》新版本前瞻特别节目将于8月13日（本周六）晚20:00正式开启。",2022/8/11 12:30,图文视频,https://www.douyin.com/share/video/7130471210760129792/?mid=7119013230357629727,21.32,"直播,原石,补偿",--,--,57891,32083,5626,1808,97408,0.00%,0,1852573
#原神 #千朵玫瑰带来的黎明  《原神》3.0版本PV：「千朵玫瑰带来的黎明」,2022/8/13 21:02,5分54秒,https://www.douyin.com/share/video/7131345347800059167/?mid=7131345482785245959,64.1,"补偿,世界,智慧",--,--,500316,44403,30224,26569,601512,0.00%,0,6586851
#原神 #千朵玫瑰带来的黎明    3.0版本前瞻特别节目|开场,2022/8/13 22:00,1分8秒,https://www.douyin.com/share/video/7131360267320954126/?mid=7131360347981957925,17.99,"补偿,原石,直播",--,--,54786,3163,511,925,59385,0.00%,0,1341091
#原神 #千朵玫瑰带来的黎明 《原神》3.0版本「千朵玫瑰带来的黎明」前瞻特别节目回顾,2022/8/13 22:12,图文视频,https://www.douyin.com/share/video/7131363359097769257/?mid=7119013230357629727,16.58,"补偿,原石,兑换",--,--,39927,6852,4265,1941,52985,0.00%,0,833842
#原神 #千朵玫瑰带来的黎明   3.0版本前瞻特别节目|《原神》须弥交响音乐现场,2022/8/14 12:00,9分5秒,https://www.douyin.com/share/video/7131365195678633252/?mid=7131365653063535367,20.83,"补偿,原石,好听",--,--,105355,9222,5410,6089,126076,0.00%,0,1981102
#原神 #千朵玫瑰带来的黎明 3.0版本前瞻特别节目|须弥、草神介绍,2022/8/14 18:00,2分15秒,https://www.douyin.com/share/video/7131366614187920648/?mid=7131366746220448548,16.79,"原石,刻晴,原神",--,--,41920,2546,415,785,45666,0.00%,0,997101
#原神 原神小剧场特别篇-A篇,2022/8/14 19:47,2分55秒,https://www.douyin.com/share/video/7131697151763123487/?mid=7131697291534043934,65.91,"原神,萌新,官方",--,--,484090,74440,75160,16923,650613,0.00%,0,7156736
#原神 原神小剧场特别篇-B篇,2022/8/14 19:56,3分15秒,https://www.douyin.com/share/video/7131699394268679460/?mid=7131699479836724004,27,"原神,官方,瓦特",--,--,110176,20952,17337,2986,151451,0.00%,0,1870491
