Date,粉丝总数,粉丝变化,收入,下载量
2022/10/9,13918325,7681,599556,23338
2022/10/10,13924659,6321,609440,25371
2022/10/11,13929990,5332,631028,29161
2022/10/12,13935167,5173,621732,24882
2022/10/13,13942312,7140,640879,24520
2022/10/14,13951689,9384,859403,27799
2022/10/15,13964611,13159,2339879,30139
2022/10/16,13974457,9498,1712181,31807
2022/10/17,13980664,6202,1704234,29880
2022/10/18,13986651,6024,1539599,30056
2022/10/19,13992893,6176,1016947,23524
2022/10/20,13999724,6743,1528514,26012
2022/10/21,14022196,22052,1235984,29764
2022/10/22,14043212,20762,1253978,29177
2022/10/23,14254725,208944,716772,41002
2022/10/24,14261431,6693,1250429,32779
2022/10/25,14266280,4858,1251988,31014
2022/10/26,14270834,4544,733269,28576
2022/10/27,14280400,9582,978110,28583
2022/10/28,14283107,10509,520600,27038
2022/10/29,14312374,16689,601220,27376
2022/10/30,14324128,11748,518634,30051
2022/10/31,14332453,8316,600059,22771
2022/11/1,14344341,11898,613536,31656
2022/11/2,14353815,9465,1823724,27219
2022/11/3,14361866,8043,3739670,39832
2022/11/4,14374229,12311,3672955,41351
2022/11/5,14390746,16527,2510147,30985
2022/11/6,14402605,11846,2376610,38036
2022/11/7,14410897,8286,1684736,58497
2022/11/8,14418615,7713,1726045,42449
2022/11/9,14426194,7548,1698108,39142
2022/11/10,14433974,7827,1609025,42606
2022/11/11,14444431,10415,1007689,41802
2022/11/12,14459198,14257,835712,41504
2022/11/13,14470215,11030,836375,38242
2022/11/14,14476510,6252,840546,41298
2022/11/15,14482648,6151,800391,44673
2022/11/16,14489367,6690,1024741,42610
2022/11/17,14496946,7577,1217321,39001
2022/11/18,14500726,7929,1435405,37986
2022/11/19,14523374,14391,2334168,38067
2022/11/20,14536516,13109,1850907,37618
2022/11/21,14544248,7723,1702176,41246
2022/11/22,14552991,8461,1444593,38019
2022/11/23,14568888,15605,1323486,27702
2022/11/24,14583508,14513,1141505,30549
2022/11/25,14773423,189969,968015,28538
2022/11/26,14786816,13384,899247,29956
2022/11/27,14797436,10566,828943,31820
2022/11/28,14805559,8026,754158,27351
2022/11/29,14813540,7960,675256,36551
2022/11/30,14821704,8152,662625,37826
2022/12/1,14831136,9428,695244,29744
2022/12/2,14841908,10751,574161,37144
2022/12/3,14852891,14270,729619,31167
2022/12/5,14890133,15268,783582,29994
2022/12/6,14913184,22995,728109,15991
2022/12/7,14924694,11477,1738407,31730
2022/12/8,14933717,8974,3717571,43923
2022/12/9,14950180,16405,3183453,75099
2022/12/10,14967477,17288,1791141,58584
2022/12/11,14980822,13344,1406696,53295
2022/12/12,14988997,8155,1305867,58795
2022/12/13,14998197,9213,1110662,32601
2022/12/14,15007483,9244,1008426,41737
2022/12/15,15018319,10792,818975,35321
2022/12/16,15029702,11380,680982,50258
2022/12/17,15044645,15046,657358,50764
2022/12/18,15057812,12947,649650,42431
2022/12/19,15067676,9876,695251,42323
2022/12/20,15080514,12755,696090,36589
2022/12/21,15091581,11057,730476,40628
2022/12/22,15102579,10981,714486,38664
2022/12/23,15114431,11906,693069,42356
2022/12/24,15126845,12248,641317,32936
2022/12/25,15138592,11743,610973,33611
2022/12/26,15151282,12629,631861,30723
2022/12/27,15163781,12392,1161282,38080
2022/12/28,15176694,12985,3687326,40974
2022/12/29,15190533,13674,3692930,38511
2022/12/30,15209706,19201,3705806,39226
2022/12/31,15228372,18498,2355896,36570
2023/1/1,15242524,14068,1358586,39549
2023/1/2,15256389,13730,1161702,42444
2023/1/3,15268865,12538,1160749,41482
2023/1/4,15290997,21818,1366894,35598
2023/1/5,15314966,24150,1376680,37166
2023/1/6,15587912,269937,1229598,47015
2023/1/7,15599559,11592,1172613,41107
2023/1/8,15611082,11403,1157660,42977
2023/1/9,15621353,10179,1117123,42495
2023/1/10,15631966,10592,1159362,43858
2023/1/11,15643410,11358,1204699,52114
2023/1/12,15657334,13638,929582,33610
2023/1/13,15682063,24417,776534,39270
2023/1/14,15702033,20044,694762,39546
2023/1/15,15717612,15377,654517,37071
2023/1/16,15731055,13259,729003,40220
2023/1/17,15747437,16333,1005641,42661
2023/1/18,15763165,15691,1350786,43719
2023/1/20,15803922,19722,1923736,58673
2023/1/22,15839465,17679,1285107,45992
2023/1/23,15855604,15303,1155574,30527
2023/1/24,15868098,12061,1095236,35269
2023/1/25,15877949,12671,984628,31839
2023/1/26,15890860,12341,895126,29281
2023/1/27,15904355,10083,848064,31810
2023/1/28,15909641,11765,841896,24558
2023/1/29,15917794,9760,734333,32835
2023/1/30,15931630,10578,617011,29662
2023/1/31,15942282,8755,644943,33571
2023/2/1,15952822,9879,659502,30078
2023/2/2,15962940,10098,699249,28955
2023/2/3,15972932,9416,584330,31845
2023/2/4,15983321,9944,582306,31744
2023/2/5,15994788,10782,599372,29313
2023/2/6,16004303,9398,655132,31424
2023/2/7,16008939,4048,1289639,41307
2023/2/8,16016242,7135,3650549,58741
2023/2/9,16023899,7561,3722656,42404
2023/2/10,16034654,10393,3728657,39820
2023/2/11,16049363,14202,2351185,47425
2023/2/12,16060622,10848,2342937,42540
2023/2/13,16067716,6971,2358700,40848
2023/2/14,16071242,3556,1786410,43740
2023/2/15,16082199,10295,1706326,36409
2023/2/16,16091701,9467,1355251,37282
2023/2/17,16215929,122013,1380402,39188
2023/2/18,16232499,16532,1388980,40027
2023/2/19,16244565,11964,1342245,50545
2023/2/20,16248813,4248,1357975,45048
2023/2/21,16252037,3131,1361488,29858
2023/2/22,16256209,4207,570909,30844
2023/2/23,16261384,4839,574638,26201
2023/2/24,16271118,9628,1370266,32541
2023/2/25,16286688,15337,1387492,36127
2023/2/26,16296096,9381,1363177,40910
2023/2/27,16298881,2781,1319063,42137
2023/2/28,16303089,3972,1119016,36336
2023/3/1,16308165,4768,2009181,38412
2023/3/2,16312915,4724,2185122,39780
2023/3/3,16322467,9273,1118869,38075
2023/3/4,16339025,15777,874401,40681
2023/3/5,16348531,9533,698837,39223
2023/3/6,16352065,3441,612322,45516
2023/3/27,16483682,6432,1714474,30098
2023/3/29,16497913,5506,911939,29174
2023/3/30,16508577,10741,887756,27857
2023/3/31,16636312,127919,851552,27038
2023/4/1,16654552,16646,1023015,24686
2023/4/2,16668501,13981,1011883,31200
2023/4/3,16675134,6566,941967,36017
2023/4/4,16676130,6812,989264,31352
2023/4/7,16717232,11730,976394,29427
2023/4/8,16732452,12408,953784,27885
2023/4/9,16741157,15268,926303,38984
2023/4/10,16745305,4392,976599,31440
2023/4/11,16754493,5906,993251,30997
2023/4/12,16758625,3979,1868918,40361
2023/4/13,16764408,5910,3664594,25126
2023/4/14,16775303,10191,3708966,29572
2023/4/15,16795122,18461,2127172,32719
2023/4/16,16807592,11105,1384581,28290
2023/4/17,16811172,3591,1835343,26680
2023/4/18,16815622,4113,1835732,25041
2023/4/19,16820186,4493,1788255,19777
2023/4/20,16826305,5380,927411,19669
2023/4/21,16835927,9704,793408,19844
2023/4/22,16852834,16410,758822,24374
2023/4/23,16859976,6592,1279447,28774
2023/4/24,16864844,4619,1258973,29421
2023/4/25,16867486,4538,756041,21728
2023/4/29,16903676,8208,313270,30922
2023/4/30,16920553,14564,322514,33176
2023/5/1,16934993,14418,427119,31560
2023/5/2,16946320,10359,1791220,35851
2023/5/3,16954713,8303,1820795,31603
2023/5/4,16956072,4872,1788639,33443
2023/5/6,16965910,3839,1287805,26125
2023/5/7,16975494,9473,654061,30435
2023/5/8,16977966,2623,520144,28992
2023/5/9,16981627,3234,368839,22364
2023/5/10,16983920,2337,416159,27036
2023/5/11,16986738,3259,326695,28690
2023/5/12,16997301,7886,313204,27252
2023/5/13,17067688,69976,326721,27820
2023/5/14,17076507,8764,423423,27024
2023/5/15,17079415,2556,391735,28790
2023/5/16,17082015,2780,337848,24731
2023/5/17,17084025,1811,331494,24514
2023/5/18,17086793,2794,389954,19464
2023/5/19,17092043,5056,313990,20685
2023/5/20,17103579,11243,274455,24765
2023/5/21,17111057,7611,340901,27206
2023/5/22,17111135,75,319023,24215
2023/5/23,17114881,3555,350883,24365
2023/5/24,17115814,980,882675,23796
2023/5/25,17120400,4455,1835033,24378
2023/5/26,17129265,8606,1789062,23812
2023/5/27,17143915,14470,610017,29613
2023/5/28,17153648,9396,492357,29981
2023/5/29,17157546,3897,447008,24068
2023/5/30,17161211,3624,345005,24041
2023/5/31,17164761,3543,346823,20825
2023/6/1,17169540,4748,345447,23734
2023/6/3,17186131,8525,313117,29450
2023/6/4,17195795,9201,329786,29775
2023/6/5,17201485,5008,313273,24955
2023/6/6,17206972,5180,313854,24789
2023/6/7,17210105,4969,343202,19576
2023/6/8,17212337,1742,358628,20096
2023/6/9,17218018,4164,322963,23927
2023/6/10,17221069,8334,312702,29995
2023/6/11,17235834,14538,313202,28321
2023/6/12,17251248,9382,332772,28443
2023/6/13,17255217,3015,468909,30701
2023/6/14,17260110,4888,1883207,30956
2023/6/15,17266787,6670,1838405,31378
2023/6/16,17273427,7240,1140749,31577
2023/6/17,17287490,12495,973020,29958
2023/6/18,17299176,11006,721599,27943
2023/6/19,17303448,8583,595986,26286
2023/6/20,17313918,6993,681294,29430
2023/6/21,17325947,11860,635715,28637
2023/6/22,17344760,18661,521325,30098
2023/6/23,17416142,70267,428367,29433
2023/6/24,17424405,8428,516863,28649
2023/6/25,17431645,7276,612422,29968
2023/6/26,17438110,6412,503973,29474
2023/6/27,17444954,6346,587545,28373
2023/6/28,17451909,6534,505160,26117
2023/6/29,17461294,8774,320087,28613
2023/6/30,17470783,8930,352270,28992
2023/7/1,17483902,13035,453007,31766
2023/7/2,17494132,10270,432916,28552
2023/7/3,17507635,13159,484568,29215
2023/7/4,17521335,13277,793556,29330
2023/7/5,17534480,13033,1792229,32300
2023/7/6,17550042,15118,1695632,30910
2023/7/7,17564055,13973,1253887,30884
2023/7/8,17579237,14639,1470915,30550
2023/7/9,17591477,12232,590343,30033
2023/7/10,17602859,11359,516780,29135
2023/7/11,17612944,10010,332577,29156
2023/7/12,17623693,10475,353583,22743
2023/7/13,17633995,10002,318947,24208
2023/7/14,17645263,11225,313505,20630
2023/7/15,17656913,11654,229394,20268
2023/7/16,17668093,10930,233712,20711
2023/7/17,17677209,9035,218230,20419
2023/7/18,17687326,10088,215418,20723
2023/7/19,17698721,11377,224083,19643
2023/7/20,17707292,8558,191755,20901
2023/7/21,17718247,10891,190063,24432
2023/7/22,17730106,11792,181796,24279
2023/7/23,17739685,9292,248016,20910
2023/7/24,17749036,9328,248130,22295
2023/7/25,17756357,7337,1802307,28903
2023/7/26,17765735,9369,1828874,24129
2023/7/27,17774772,9026,1234748,23610
2023/7/28,17784741,9951,1448167,23287
2023/7/29,17795248,10486,673912,20571
2023/7/30,17807040,11787,569477,20123
2023/7/31,17816586,9519,674563,19842
2023/8/1,17827962,11445,658325,20516
2023/8/2,17838124,9813,550099,20389
2023/8/3,17843645,12527,436180,20261
2023/8/4,17852398,11531,303613,19184
2023/8/5,17987914,111643,339466,20402
2023/8/6,17997309,9107,360440,20418
2023/8/7,18009970,10491,344368,21824
2023/8/8,18021356,7560,321491,20923
2023/8/9,18027761,8417,319064,20280
2023/8/10,18034981,7207,312995,19903
2023/8/11,18049872,12769,313121,24430
2023/8/12,18077980,18174,313475,24239
2023/8/13,18091206,17652,313643,24535
2023/8/14,18109586,14332,342860,24428
2023/8/16,18125946,13612,1832733,29248
2023/8/18,18159264,15442,1607614,26448
2023/8/19,18180860,13036,1252312,24420
2023/8/20,18195116,13958,1257941,24161
2023/8/21,18206808,11448,1391194,23124
2023/8/22,18217955,10337,579622,22560
2023/8/23,18229209,11166,838351,28133
2023/8/24,18238863,9606,618187,28422
2023/8/25,18248535,8305,513236,23776
2023/8/26,18259710,10971,312541,24938
2023/8/27,18268502,9914,434170,24409
2023/8/30,18294929,7967,353762,21979
2023/8/31,18299279,4374,337930,20999
2023/9/1,18302913,3575,407983,21857
2023/9/2,18310706,7906,507619,21041
2023/9/3,18317334,6392,493753,19720
2023/9/4,18319498,2317,470997,18822
2023/9/5,18321745,1961,1839264,17720
2023/9/6,18324907,3273,1843120,20454
2023/9/7,18325291,3371,1807367,17867
2023/9/9,18342342,6098,551616,23690
2023/9/10,18350032,6918,571613,24566
2023/9/11,18353398,3086,476712,23612
2023/9/12,18355052,1617,474861,18870
2023/9/13,18357534,2478,445233,20513
2023/9/14,18362104,4566,365178,17823
2023/9/15,18430731,68498,289324,20028
2023/9/16,18441583,10877,346120,29568
2023/9/17,18450517,8919,336065,27344
2023/9/18,18454027,3508,402258,24505
2023/9/19,18457970,3935,390089,19676
2023/9/20,18459231,1261,344899,18785
2023/9/21,18461632,2393,326530,17240
2023/9/22,18466766,5121,240970,16871
2023/9/23,18474888,10437,316350,24368
2023/9/24,18486311,7957,343832,24301
2023/9/25,18488833,2515,322584,19801
2023/9/26,18491476,2654,324649,19084
2023/9/27,18495507,4025,914874,24235
2023/9/28,18510669,15170,1836747,25830
2023/9/29,18532930,22212,1843230,33337
2023/9/30,18550257,17320,1826955,30135
2023/10/1,18566510,16398,1843403,30648
2023/10/2,18579133,12401,1843881,30102
2023/10/3,18590871,11723,1781143,29950
2023/10/4,18601544,10673,1820397,29979
2023/10/5,18611649,10091,1516916,36392
2023/10/6,18618604,6980,1671545,30620
2023/10/7,18622847,4196,1319631,28501
2023/10/8,18626052,3218,1792117,25694
2023/10/9,18629233,3269,1810710,20461
2023/10/10,18632347,3022,1818720,20589
2023/10/11,18634725,2337,1534522,21190
2023/10/12,18636743,2024,1545112,24283
2023/10/13,18643578,6834,1610553,27404
2023/10/14,18655623,12110,635076,40518
2023/10/15,18664803,9168,768756,39978
2023/10/16,18667312,2520,718728,28762
2023/10/17,18669684,2387,1425423,24231
2023/10/18,18672608,2836,1833913,24120
2023/10/19,18675343,2752,1820153,26000
2023/10/20,18682825,7394,1516668,23649
2023/10/21,18695657,12855,695524,28104
2023/10/22,18702908,7231,488135,36903
2023/10/23,18704909,1993,447018,30082
2023/10/24,18707631,2669,342206,28556
2023/10/25,18710093,2441,393180,25484
2023/10/26,18714040,3979,287937,24403
2023/10/27,18729825,15512,246872,24491
2023/10/28,18745023,15134,295761,25089
2023/10/29,18754242,9216,307015,29083
2023/10/30,18757984,3737,1588986,24805
2023/10/31,18762159,4150,755890,22055
2023/11/1,18765350,3193,580302,21230
2023/11/2,18769883,4522,477035,21179
2023/11/3,18855090,85080,353473,21889
2023/11/4,18868965,14026,396008,27816
2023/11/5,18878371,9240,432715,29946
2023/11/6,18880540,2164,344771,28131
2023/11/7,18885576,5058,421294,24320
2023/11/8,18887501,1904,951291,31827
2023/11/9,18890821,3310,1885867,30065
2023/11/10,18898252,7421,1844186,30351
2023/11/11,18912476,14201,1796185,36163
2023/11/12,18922582,10056,1521470,30107
2023/11/13,18926423,3827,1283235,29129
2023/11/14,18930050,3622,1803881,24931
2023/11/15,18933927,3863,1736517,24413
2023/11/16,18938521,4581,1285229,23660
2023/11/17,18946742,8272,1060439,24549
2023/11/18,18960771,14144,718787,26995
2023/11/19,18971319,9786,719476,29929
2023/11/20,18975165,3916,1258172,27466
2023/11/21,18978785,3639,1514172,26998
2023/11/22,18982145,3239,1389124,23432
2023/11/23,18984742,2563,1158894,23865
2023/11/24,18991571,6619,621165,21840
2023/11/25,19003538,11903,771775,28669
2023/11/26,19011690,8145,1433008,25131
2023/11/27,19014512,2814,1292972,24361
2023/11/28,19016852,2336,1836031,21607
2023/11/29,19020077,3221,1832917,20953
2023/11/30,19023723,3645,1154805,21252
2023/12/1,19033200,9381,531497,22329
2023/12/2,19047114,13901,385773,24522
2023/12/3,19059563,12471,353047,25920
2023/12/4,19067891,8320,314066,23566
2023/12/5,19077298,9397,235550,20249
2023/12/6,19085463,8223,190832,17622
2023/12/7,19092517,7038,190532,15576
2023/12/8,19163257,70614,180200,17029
2023/12/9,19181125,17878,234091,20251
2023/12/10,19190973,9879,243574,20426
2023/12/11,19195114,4127,228909,19105
2023/12/12,19199150,4032,198702,18275
2023/12/13,19203796,4684,204852,17736
2023/12/14,19208105,4323,187368,17728
2023/12/15,19214159,6059,186426,19965
2023/12/16,19224878,10470,184158,20837
2023/12/17,19233229,8310,299500,20869
2023/12/18,19237173,3907,234965,21519
2023/12/19,19241618,4484,198426,19811
2023/12/20,19245280,3652,1569908,23624
2023/12/21,19249222,3730,1828931,18556
2023/12/22,19255963,6614,1818394,20332
2023/12/23,19265805,9831,1820812,21131
2023/12/24,19273123,7331,1812462,24546
2023/12/25,19275467,2327,1545725,21243
2023/12/26,19277484,2009,1518747,20106
2023/12/27,19279534,2038,692417,19730
2023/12/28,19281674,2145,519316,24453
2023/12/29,19286572,4827,351920,24986
2023/12/30,19296676,10056,320727,22759
2023/12/31,19306541,9839,310760,24500
2024/1/1,19313291,6674,262467,22859
2024/1/2,19315727,2459,359587,30157
2024/1/3,19318553,2790,358545,24418
2024/1/4,19320054,1518,361001,17223
2024/1/5,19322870,2772,276349,11708
2024/1/6,19331205,8300,313278,9447
2024/1/7,19338061,6790,494100,9397
2024/1/8,19339578,1525,330455,19680
2024/1/9,19341067,1495,431620,17764
2024/1/10,19343236,2188,1845161,18283
2024/1/11,19346567,3293,951482,18469
2024/1/12,19352668,6030,1517889,18665
2024/1/13,19361624,8926,1256123,22225
2024/1/14,19368034,6343,720646,24571
2024/1/15,19371042,2965,582250,27646
2024/1/16,19374048,3077,570116,20476
2024/1/17,19378999,4666,570295,20221
2024/1/18,19383827,4907,480871,18451
2024/1/19,19443884,60001,391704,18365
2024/1/20,19444510,607,330548,17605
2024/1/21,19362610,-77763,386448,20966
2024/1/22,19283376,-78343,372597,22839
2024/1/23,19252128,-31268,407375,17710
2024/1/24,19236767,-15033,386883,17624
2024/1/25,19234057,-2706,353234,15879
2024/1/26,19234558,515,617953,15883
2024/1/27,19235956,1389,313626,17625
2024/1/28,19239997,4034,313066,18245
2024/1/29,19236912,-3078,312860,23388
2024/1/30,19237937,1024,364891,20259
2024/1/31,19244255,6334,342973,19076
2024/2/1,19252707,8409,1836303,26951
2024/2/2,19263293,10393,1842004,30505
2024/2/3,19274120,10799,1811098,20274
2024/2/4,19283870,9805,1805726,20940
2024/2/5,19292276,8085,1523064,20234
2024/2/6,19299876,7575,550441,15711
2024/2/7,19307340,7477,478247,18953
2024/2/8,19315132,7776,519742,18564
2024/2/9,19324822,9742,391772,19566
2024/2/10,19326775,9635,434822,20618
2024/2/11,19340294,7559,453682,20399
2024/2/12,19347230,6923,476985,22185
2024/2/13,19353606,6346,445399,17844
2024/2/14,19359061,5173,497755,18897
2024/2/15,19365355,6068,389011,16119
2024/2/16,19370541,5185,334586,17253
2024/2/17,19374533,3931,333242,18338
2024/2/18,19378969,4215,381005,17645
2024/2/19,19383601,4323,359738,18455
2024/2/20,19386626,2922,494316,18370
2024/2/21,19391822,5091,1819385,18259
2024/2/26,19416203,4744,313845,17842
2024/2/27,19417225,989,267267,17104
2024/2/28,19418698,1471,228982,14511
2024/2/29,19420958,2255,229594,15255
2024/3/1,19465342,44086,1024472,15854
2024/3/2,19474085,8714,195560,14863
2024/3/3,19479626,5502,227816,17855
2024/3/4,19480173,615,306739,17812
2024/3/5,19481234,1032,267153,15687
2024/3/6,19482444,1207,229570,15772
2024/3/7,19483081,635,194135,14441
2024/3/8,19487620,4474,179414,14150
2024/3/9,19495783,8108,179717,17772
2024/3/10,19500895,5135,211617,19700
2024/3/11,19502026,1140,269677,22117
2024/3/12,19502460,432,244983,15711
2024/3/13,19502859,381,236509,17592
2024/3/14,19503968,1103,1844351,17688
2024/3/15,19508969,5003,1784941,16484
2024/3/16,19518071,9004,1808299,19087
2024/3/17,19523399,5444,1792168,24825
2024/3/18,19524719,1263,1586325,19754
2024/3/19,19525931,1262,517987,20281
2024/3/20,19527338,1352,501815,17840
2024/3/21,19527921,558,458478,17047
2024/3/22,19532298,4370,316906,16797
2024/3/23,19539810,7510,303175,17866
2024/3/24,19545376,5564,307353,24286
2024/3/25,19545631,375,313201,20002
2024/3/26,19546382,726,287254,20277
2024/3/27,19546821,429,245521,17655
2024/3/28,19546054,-729,237460,15959
2024/3/29,19548634,2572,215321,14237
2024/3/30,19554490,5846,213740,14764
2024/3/31,19558287,3858,202924,18492
2024/4/1,19558184,-92,259673,18442
2024/4/2,19557843,-201,279378,16314
2024/4/3,19561203,3210,1809866,17924
2024/4/4,19568068,6850,1478075,21818
2024/4/5,19574253,6047,1487862,20289
2024/4/6,19577539,3196,1523783,18867
2024/4/7,19577384,-130,1174201,18136
2024/4/8,19578312,914,718524,17316
2024/4/9,19579388,1112,700912,15636
2024/4/10,19580437,1065,618677,14838
2024/4/11,19582615,2211,478592,15802
2024/4/12,19623169,40154,336457,16813
2024/4/13,19629168,5964,376977,15803
2024/4/14,19633973,4945,374927,17685
2024/4/15,19634652,664,345920,18483
2024/4/16,19635791,1188,361614,16310
2024/4/17,19638343,2526,434698,15399
2024/4/18,19640087,1829,427928,14103
2024/4/19,19645087,4476,338889,14328
2024/4/20,19654048,7773,271028,14012
2024/4/21,19660095,6025,290680,19871
2024/4/22,19659728,-215,378869,17637
2024/4/23,19660299,437,692766,18166
2024/4/24,19659758,38,435426,16514
2024/4/25,19661352,1272,1881663,24107
2024/4/26,19661367,910,1845585,19540
2024/4/27,19672096,7671,1805476,19300
2024/4/28,19675040,2393,1796690,18240
2024/4/29,19674739,1458,1181271,15665
2024/4/30,19679048,3174,1248883,24356
