Date,粉丝总数,粉丝变化,收入,下载量
2021/3/4,5090069,26233,1705126,21049
2021/3/5,5103121,12921,1353071,21506
2021/3/6,5189451,83918,1142338,22498
2021/3/7,5205296,14810,941662,25052
2021/3/8,5212810,8548,778208,24648
2021/3/9,5220089,6735,752718,24469
2021/3/10,5226300,6159,699567,26170
2021/3/11,5232078,5517,752414,26592
2021/3/12,5239109,8058,669019,27298
2021/3/13,5259723,16164,682566,27622
2021/3/14,5272539,13639,690195,31118
2021/3/15,5278550,4850,690537,28717
2021/3/16,5285016,6831,692360,25836
2021/3/17,5296553,10870,1779686,24956
2021/3/18,5305746,8564,3023360,27976
2021/3/20,5333940,13535,1147649,31816
2021/3/21,5344013,9288,841867,33815
2021/3/22,5348705,5774,724169,31575
2021/3/23,5352133,5161,550801,27841
2021/3/24,5363798,8923,512985,26804
2021/3/25,5371390,6808,422889,24713
2021/3/26,5377612,6106,331995,21948
2021/3/27,5390279,12402,343767,30190
2021/3/28,5399237,7867,346113,28721
2021/3/29,5401517,5111,327960,27373
2021/3/30,5406209,3926,311376,22249
2021/3/31,5410722,4141,282971,22279
2021/4/1,5416762,5613,300592,20765
2021/4/2,5425797,9619,317773,20404
2021/4/3,5442542,15102,299644,22194
2021/4/4,5456108,12850,357904,24194
2021/4/5,5461654,5356,374618,23872
2021/4/6,5464002,2701,514545,21915
2021/4/7,5466557,2147,1381253,19211
2021/4/8,5468356,3304,1092652,18854
2021/4/9,5473854,4371,902498,17485
2021/4/10,5483858,9007,667925,19999
2021/4/11,5490844,8666,542156,20628
2021/4/12,5493940,2473,447760,21100
2021/4/13,5496847,2726,333733,17420
2021/4/14,5501722,4338,291085,16762
2021/4/15,5509805,7260,269321,17327
2021/4/16,5583544,68205,222513,15983
2021/4/17,5596445,12479,237609,19914
2021/4/18,5602029,12789,277483,19280
2021/4/19,5606761,3556,253220,18941
2021/4/20,5608877,1825,220575,16104
2021/4/21,5610876,2131,207216,15686
2021/4/22,5614796,3494,171305,14276
2021/4/23,5620131,6114,137290,13437
2021/4/24,5629242,8694,149921,17607
2021/4/25,5630706,1285,154885,17868
2021/4/26,5629826,-526,159862,16613
2021/4/27,5634088,4071,162441,15188
2021/4/28,5637890,3692,2336547,17548
2021/4/29,5640676,2651,2039040,18529
2021/4/30,5649944,8529,1232112,17811
2021/5/1,5662719,15359,856108,20016
2021/5/2,5676422,11443,628092,20061
2021/5/3,5684808,8560,571962,21198
2021/5/4,5692482,7635,477370,20411
2021/5/5,5697863,4727,421262,19086
2021/5/6,5698359,775,377849,18877
2021/5/7,5701362,2735,300284,16448
2021/5/8,5705126,4187,235872,15484
2021/5/9,5709365,3294,273711,17838
2021/5/10,5710218,1250,284198,18597
2021/5/11,5711747,1460,290715,16051
2021/5/12,5714828,3040,303629,16365
2021/5/13,5717559,3017,279329,15043
2021/5/14,5730880,12006,214820,16033
2021/5/15,5744014,12784,205315,18519
2021/5/16,5747795,7186,228283,18487
2021/5/17,5753205,4742,245580,18825
2021/5/18,5757170,4261,466295,16607
2021/5/19,5761064,3522,2383433,16324
2021/5/20,5763150,4131,1415039,16898
2021/5/21,5770653,5747,1142394,16093
2021/5/22,5780918,8160,923256,20428
2021/5/23,5788979,7630,839879,21701
2021/5/24,5792607,3290,741394,23403
2021/5/25,5796922,4439,628345,26967
2021/5/26,5802995,6616,571403,27055
2021/5/27,5809225,5417,546588,25689
2021/5/28,5840603,30151,544634,25976
2021/5/29,5852883,12072,489602,21852
2021/5/30,5861397,8454,515992,23246
2021/5/31,5865492,3865,490351,21570
2021/6/1,5870714,4694,419506,21147
2021/6/2,5873818,2912,427666,19239
2021/6/3,5878517,5494,415996,18627
2021/6/4,5886692,6336,446624,17211
2021/6/5,5897572,10682,431090,18861
2021/6/6,5906766,9209,440955,18732
2021/6/7,5912412,7313,491213,18727
2021/6/8,5923345,9119,498313,18142
