Date,粉丝总数,粉丝变化
2022/7/19,12403628,15369
2022/7/20,12418214,14491
2022/7/21,12431911,13686
2022/7/22,12445894,13957
2022/7/23,12463714,17800
2022/7/24,12480726,17001
2022/7/25,12495230,14452
2022/7/26,12508977,13708
2022/7/27,12524174,15227
2022/7/28,12539854,15637
2022/7/29,12567533,27654
2022/7/30,12586531,19035
2022/7/31,12602139,15560
2022/8/1,12616992,14815
2022/8/2,12630287,13290
2022/8/3,12641674,11398
2022/8/4,12652919,11423
2022/8/5,12665039,10813
2022/8/6,12677739,12490
2022/8/7,12691015,13252
2022/8/8,12704161,13139
2022/8/9,12716116,11910
2022/8/10,12728488,12342
2022/8/11,12761897,33323
2022/8/12,12791628,29735
2022/8/13,13103957,312047
2022/8/14,13117151,13153
2022/8/15,13128937,11781
2022/8/16,13140508,11506
2022/8/17,13150614,10119
2022/8/18,13160628,10001
2022/8/19,13172079,11459
2022/8/20,13184124,12015
2022/8/21,13195506,11357
2022/8/22,13204699,9180
2022/8/23,13217554,12842
2022/8/24,13232343,14735
2022/8/25,13243551,11205
2022/8/26,13255891,12344
2022/8/27,13270807,14910
2022/8/28,13284692,13845
2022/8/29,13294415,9712
2022/8/30,13305992,11560
2022/8/31,13315198,9173
2022/9/1,13322940,7760
2022/9/2,13330981,7997
2022/9/3,13344142,13305
2022/9/4,13355713,11193
2022/9/5,13362895,7244
2022/9/6,13369488,6485
2022/9/7,13374749,5321
2022/9/8,13381024,6182
2022/9/9,13393481,12445
2022/9/10,13413338,19178
2022/9/11,13427976,14654
2022/9/12,13436515,8447
2022/9/13,13441393,4953
2022/9/14,13451440,9708
2022/9/15,13462315,11005
2022/9/16,13631149,166873
2022/9/17,13648505,17342
2022/9/18,13663226,14676
2022/9/19,13668918,5949
2022/9/20,13674230,4945
2022/9/21,13679190,5036
2022/9/22,13684460,5098
2022/9/23,13697648,13170
2022/9/24,13712303,14625
2022/9/25,13722997,10685
2022/9/26,13727837,4836
2022/9/27,13734322,6462
2022/9/28,13758694,24386
2022/9/29,13771697,12972
2022/9/30,13791223,19254
2022/10/1,13815856,24514
2022/10/2,13836466,20865
2022/10/3,13851387,14683
2022/10/4,13863959,13854
2022/10/5,13878688,10988
2022/10/6,13891914,13218
2022/10/7,13903319,11415
2022/10/8,13910617,7270
2022/10/9,13918325,7681
2022/10/10,13924659,6321
2022/10/11,13929990,5332
2022/10/12,13935167,5173
2022/10/13,13942312,7140
2022/10/14,13951689,9384
2022/10/15,13964611,13159
2022/10/16,13974457,9498
2022/10/17,13980664,6202
2022/10/18,13986651,6024
2022/10/19,13992893,6176
2022/10/20,13999724,6743
2022/10/21,14022196,22052
2022/10/22,14043212,20762
2022/10/23,14254725,208944
2022/10/24,14261431,6693
2022/10/25,14266280,4858
2022/10/26,14270834,4544
2022/10/27,14280400,9582
2022/10/28,14283107,10509
2022/10/29,14312374,16689
2022/10/30,14324128,11748
2022/10/31,14332453,8316
2022/11/1,14344341,11898
2022/11/2,14353815,9465
2022/11/3,14361866,8043
2022/11/4,14374229,12311
2022/11/5,14390746,16527
2022/11/6,14402605,11846
2022/11/7,14410897,8286
2022/11/8,14418615,7713
2022/11/9,14426194,7548
2022/11/10,14433974,7827
2022/11/11,14444431,10415
2022/11/12,14459198,14257
2022/11/13,14470215,11030
2022/11/14,14476510,6252
2022/11/15,14482648,6151
2022/11/16,14489367,6690
2022/11/17,14496946,7577
2022/11/18,14500726,7929
2022/11/19,14523374,14391
2022/11/20,14536516,13109
2022/11/21,14544248,7723
2022/11/22,14552991,8461
2022/11/23,14568888,15605
2022/11/24,14583508,14513
2022/11/25,14773423,189969
2022/11/26,14786816,13384
2022/11/27,14797436,10566
2022/11/28,14805559,8026
2022/11/29,14813540,7960
2022/11/30,14821704,8152
2022/12/1,14831136,9428
2022/12/2,14841908,10751
2022/12/3,14852891,14270
2022/12/5,14890133,15268
2022/12/6,14913184,22995
2022/12/7,14924694,11477
2022/12/8,14933717,8974
2022/12/9,14950180,16405
2022/12/10,14967477,17288
2022/12/11,14980822,13344
2022/12/12,14988997,8155
2022/12/13,14998197,9213
2022/12/14,15007483,9244
2022/12/15,15018319,10792
2022/12/16,15029702,11380
2022/12/17,15044645,15046
2022/12/18,15057812,12947
2022/12/19,15067676,9876
2022/12/20,15080514,12755
2022/12/21,15091581,11057
2022/12/22,15102579,10981
2022/12/23,15114431,11906
2022/12/24,15126845,12248
2022/12/25,15138592,11743
2022/12/26,15151282,12629
2022/12/27,15163781,12392
2022/12/28,15176694,12985
2022/12/29,15190533,13674
2022/12/30,15209706,19201
2022/12/31,15228372,18498
2023/1/1,15242524,14068
2023/1/2,15256389,13730
2023/1/3,15268865,12538
2023/1/4,15290997,21818
2023/1/5,15314966,24150
2023/1/6,15587912,269937
2023/1/7,15599559,11592
2023/1/8,15611082,11403
2023/1/9,15621353,10179
2023/1/10,15631966,10592
2023/1/11,15643410,11358
2023/1/12,15657334,13638
2023/1/13,15682063,24417
2023/1/14,15702033,20044
2023/1/15,15717612,15377
2023/1/16,15731055,13259
2023/1/17,15747437,16333
2023/1/18,15763165,15691
2023/1/20,15803922,19722
2023/1/22,15839465,17679
2023/1/23,15855604,15303
2023/1/24,15868098,12061
2023/1/25,15877949,12671
2023/1/26,15890860,12341
2023/1/27,15904355,10083
2023/1/28,15909641,11765
2023/1/29,15917794,9760
2023/1/30,15931630,10578
2023/1/31,15942282,8755
2023/2/1,15952822,9879
2023/2/2,15962940,10098
2023/2/3,15972932,9416
2023/2/4,15983321,9944
2023/2/5,15994788,10782
2023/2/6,16004303,9398
2023/2/7,16008939,4048
2023/2/8,16016242,7135
2023/2/9,16023899,7561
2023/2/10,16034654,10393
2023/2/11,16049363,14202
2023/2/12,16060622,10848
2023/2/13,16067716,6971
2023/2/14,16071242,3556
2023/2/15,16082199,10295
2023/2/16,16091701,9467
2023/2/17,16215929,122013
2023/2/18,16232499,16532
2023/2/19,16244565,11964
2023/2/20,16248813,4248
2023/2/21,16252037,3131
2023/2/22,16256209,4207
2023/2/23,16261384,4839
2023/2/24,16271118,9628
2023/2/25,16286688,15337
2023/2/26,16296096,9381
2023/2/27,16298881,2781
2023/2/28,16303089,3972
2023/3/1,16308165,4768
2023/3/2,16312915,4724
2023/3/3,16322467,9273
2023/3/4,16339025,15777
2023/3/5,16348531,9533
2023/3/6,16352065,3441
2023/3/27,16483682,6432
2023/3/29,16497913,5506
2023/3/30,16508577,10741
2023/3/31,16636312,127919
2023/4/1,16654552,16646
2023/4/2,16668501,13981
2023/4/3,16675134,6566
2023/4/4,16676130,6812
2023/4/7,16717232,11730
2023/4/8,16732452,12408
2023/4/9,16741157,15268
2023/4/10,16745305,4392
2023/4/11,16754493,5906
2023/4/12,16758625,3979
2023/4/13,16764408,5910
2023/4/14,16775303,10191
2023/4/15,16795122,18461
2023/4/16,16807592,11105
2023/4/17,16811172,3591
2023/4/18,16815622,4113
2023/4/19,16820186,4493
2023/4/20,16826305,5380
2023/4/21,16835927,9704
2023/4/22,16852834,16410
2023/4/23,16859976,6592
2023/4/24,16864844,4619
2023/4/25,16867486,4538
2023/4/29,16903676,8208
2023/4/30,16920553,14564
2023/5/1,16934993,14418
2023/5/2,16946320,10359
2023/5/3,16954713,8303
2023/5/4,16956072,4872
2023/5/6,16965910,3839
2023/5/7,16975494,9473
2023/5/8,16977966,2623
2023/5/9,16981627,3234
2023/5/10,16983920,2337
2023/5/11,16986738,3259
2023/5/12,16997301,7886
2023/5/13,17067688,69976
2023/5/14,17076507,8764
2023/5/15,17079415,2556
2023/5/16,17082015,2780
2023/5/17,17084025,1811
2023/5/18,17086793,2794
2023/5/19,17092043,5056
2023/5/20,17103579,11243
2023/5/21,17111057,7611
2023/5/22,17111135,75
2023/5/23,17114881,3555
2023/5/24,17115814,980
2023/5/25,17120400,4455
2023/5/26,17129265,8606
2023/5/27,17143915,14470
2023/5/28,17153648,9396
2023/5/29,17157546,3897
2023/5/30,17161211,3624
2023/5/31,17164761,3543
2023/6/1,17169540,4748
2023/6/3,17186131,8525
2023/6/4,17195795,9201
2023/6/5,17201485,5008
2023/6/6,17206972,5180
2023/6/7,17210105,4969
2023/6/8,17212337,1742
2023/6/9,17218018,4164
2023/6/10,17221069,8334
2023/6/11,17235834,14538
2023/6/12,17251248,9382
2023/6/13,17255217,3015
2023/6/14,17260110,4888
2023/6/15,17266787,6670
2023/6/16,17273427,7240
2023/6/17,17287490,12495
2023/6/18,17299176,11006
2023/6/19,17303448,8583
2023/6/20,17313918,6993
2023/6/21,17325947,11860
2023/6/22,17344760,18661
2023/6/23,17416142,70267
2023/6/24,17424405,8428
2023/6/25,17431645,7276
2023/6/26,17438110,6412
2023/6/27,17444954,6346
2023/6/28,17451909,6534
2023/6/29,17461294,8774
2023/6/30,17470783,8930
2023/7/1,17483902,13035
2023/7/2,17494132,10270
2023/7/3,17507635,13159
2023/7/4,17521335,13277
2023/7/5,17534480,13033
2023/7/6,17550042,15118
2023/7/7,17564055,13973
2023/7/8,17579237,14639
2023/7/9,17591477,12232
2023/7/10,17602859,11359
2023/7/11,17612944,10010
2023/7/12,17623693,10475
2023/7/13,17633995,10002
2023/7/14,17645263,11225
2023/7/15,17656913,11654
2023/7/16,17668093,10930
2023/7/17,17677209,9035
2023/7/18,17687326,10088
2023/7/19,17698721,11377
2023/7/20,17707292,8558
2023/7/21,17718247,10891
2023/7/22,17730106,11792
2023/7/23,17739685,9292
2023/7/24,17749036,9328
2023/7/25,17756357,7337
2023/7/26,17765735,9369
2023/7/27,17774772,9026
2023/7/28,17784741,9951
2023/7/29,17795248,10486
2023/7/30,17807040,11787
2023/7/31,17816586,9519
2023/8/1,17827962,11445
2023/8/2,17838124,9813
2023/8/3,17843645,12527
2023/8/4,17852398,11531
2023/8/5,17987914,111643
2023/8/6,17997309,9107
2023/8/7,18009970,10491
2023/8/8,18021356,7560
2023/8/9,18027761,8417
2023/8/10,18034981,7207
2023/8/11,18049872,12769
2023/8/12,18077980,18174
2023/8/13,18091206,17652
2023/8/14,18109586,14332
2023/8/16,18125946,13612
2023/8/18,18159264,15442
2023/8/19,18180860,13036
2023/8/20,18195116,13958
2023/8/21,18206808,11448
2023/8/22,18217955,10337
2023/8/23,18229209,11166
2023/8/24,18238863,9606
2023/8/25,18248535,8305
2023/8/26,18259710,10971
2023/8/27,18268502,9914
2023/8/30,18294929,7967
2023/8/31,18299279,4374
2023/9/1,18302913,3575
2023/9/2,18310706,7906
2023/9/3,18317334,6392
2023/9/4,18319498,2317
2023/9/5,18321745,1961
2023/9/6,18324907,3273
2023/9/7,18325291,3371
2023/9/9,18342342,6098
2023/9/10,18350032,6918
2023/9/11,18353398,3086
2023/9/12,18355052,1617
2023/9/13,18357534,2478
2023/9/14,18362104,4566
2023/9/15,18430731,68498
2023/9/16,18441583,10877
2023/9/17,18450517,8919
2023/9/18,18454027,3508
2023/9/19,18457970,3935
2023/9/20,18459231,1261
2023/9/21,18461632,2393
2023/9/22,18466766,5121
2023/9/23,18474888,10437
2023/9/24,18486311,7957
2023/9/25,18488833,2515
2023/9/26,18491476,2654
2023/9/27,18495507,4025
2023/9/28,18510669,15170
2023/9/29,18532930,22212
2023/9/30,18550257,17320
2023/10/1,18566510,16398
2023/10/2,18579133,12401
2023/10/3,18590871,11723
2023/10/4,18601544,10673
2023/10/5,18611649,10091
2023/10/6,18618604,6980
2023/10/7,18622847,4196
2023/10/8,18626052,3218
2023/10/9,18629233,3269
2023/10/10,18632347,3022
2023/10/11,18634725,2337
2023/10/12,18636743,2024
2023/10/13,18643578,6834
2023/10/14,18655623,12110
2023/10/15,18664803,9168
2023/10/16,18667312,2520
2023/10/17,18669684,2387
2023/10/18,18672608,2836
2023/10/19,18675343,2752
2023/10/20,18682825,7394
2023/10/21,18695657,12855
2023/10/22,18702908,7231
2023/10/23,18704909,1993
2023/10/24,18707631,2669
2023/10/25,18710093,2441
2023/10/26,18714040,3979
2023/10/27,18729825,15512
2023/10/28,18745023,15134
2023/10/29,18754242,9216
2023/10/30,18757984,3737
2023/10/31,18762159,4150
2023/11/1,18765350,3193
2023/11/2,18769883,4522
2023/11/3,18855090,85080
2023/11/4,18868965,14026
2023/11/5,18878371,9240
2023/11/6,18880540,2164
2023/11/7,18885576,5058
2023/11/8,18887501,1904
2023/11/9,18890821,3310
2023/11/10,18898252,7421
2023/11/11,18912476,14201
2023/11/12,18922582,10056
2023/11/13,18926423,3827
2023/11/14,18930050,3622
2023/11/15,18933927,3863
2023/11/16,18938521,4581
2023/11/17,18946742,8272
2023/11/18,18960771,14144
2023/11/19,18971319,9786
2023/11/20,18975165,3916
2023/11/21,18978785,3639
2023/11/22,18982145,3239
2023/11/23,18984742,2563
2023/11/24,18991571,6619
2023/11/25,19003538,11903
2023/11/26,19011690,8145
2023/11/27,19014512,2814
2023/11/28,19016852,2336
2023/11/29,19020077,3221
2023/11/30,19023723,3645
2023/12/1,19033200,9381
2023/12/2,19047114,13901
2023/12/3,19059563,12471
2023/12/4,19067891,8320
2023/12/5,19077298,9397
2023/12/6,19085463,8223
2023/12/7,19092517,7038
2023/12/8,19163257,70614
2023/12/9,19181125,17878
2023/12/10,19190973,9879
2023/12/11,19195114,4127
2023/12/12,19199150,4032
2023/12/13,19203796,4684
2023/12/14,19208105,4323
2023/12/15,19214159,6059
2023/12/16,19224878,10470
2023/12/17,19233229,8310
2023/12/18,19237173,3907
2023/12/19,19241618,4484
2023/12/20,19245280,3652
2023/12/21,19249222,3730
2023/12/22,19255963,6614
2023/12/23,19265805,9831
2023/12/24,19273123,7331
2023/12/25,19275467,2327
2023/12/26,19277484,2009
2023/12/27,19279534,2038
2023/12/28,19281674,2145
2023/12/29,19286572,4827
2023/12/30,19296676,10056
2023/12/31,19306541,9839
2024/1/1,19313291,6674
2024/1/2,19315727,2459
2024/1/3,19318553,2790
2024/1/4,19320054,1518
2024/1/5,19322870,2772
2024/1/6,19331205,8300
2024/1/7,19338061,6790
2024/1/8,19339578,1525
2024/1/9,19341067,1495
2024/1/10,19343236,2188
2024/1/11,19346567,3293
2024/1/12,19352668,6030
2024/1/13,19361624,8926
2024/1/14,19368034,6343
2024/1/15,19371042,2965
2024/1/16,19374048,3077
2024/1/17,19378999,4666
2024/1/18,19383827,4907
2024/1/19,19443884,60001
2024/1/20,19444510,607
2024/1/21,19362610,-77763
2024/1/22,19283376,-78343
2024/1/23,19252128,-31268
2024/1/24,19236767,-15033
2024/1/25,19234057,-2706
2024/1/26,19234558,515
2024/1/27,19235956,1389
2024/1/28,19239997,4034
2024/1/29,19236912,-3078
2024/1/30,19237937,1024
2024/1/31,19244255,6334
2024/2/1,19252707,8409
2024/2/2,19263293,10393
2024/2/3,19274120,10799
2024/2/4,19283870,9805
2024/2/5,19292276,8085
2024/2/6,19299876,7575
2024/2/7,19307340,7477
2024/2/8,19315132,7776
2024/2/9,19324822,9742
2024/2/10,19326775,9635
2024/2/11,19340294,7559
2024/2/12,19347230,6923
2024/2/13,19353606,6346
2024/2/14,19359061,5173
2024/2/15,19365355,6068
2024/2/16,19370541,5185
2024/2/17,19374533,3931
2024/2/18,19378969,4215
2024/2/19,19383601,4323
2024/2/20,19386626,2922
2024/2/21,19391822,5091
2024/2/26,19416203,4744
2024/2/27,19417225,989
2024/2/28,19418698,1471
2024/2/29,19420958,2255
2024/3/1,19465342,44086
2024/3/2,19474085,8714
2024/3/3,19479626,5502
2024/3/4,19480173,615
2024/3/5,19481234,1032
2024/3/6,19482444,1207
2024/3/7,19483081,635
2024/3/8,19487620,4474
2024/3/9,19495783,8108
2024/3/10,19500895,5135
2024/3/11,19502026,1140
2024/3/12,19502460,432
2024/3/13,19502859,381
2024/3/14,19503968,1103
2024/3/15,19508969,5003
2024/3/16,19518071,9004
2024/3/17,19523399,5444
2024/3/18,19524719,1263
2024/3/19,19525931,1262
2024/3/20,19527338,1352
2024/3/21,19527921,558
2024/3/22,19532298,4370
2024/3/23,19539810,7510
2024/3/24,19545376,5564
2024/3/25,19545631,375
2024/3/26,19546382,726
2024/3/27,19546821,429
2024/3/28,19546054,-729
2024/3/29,19548634,2572
2024/3/30,19554490,5846
2024/3/31,19558287,3858
2024/4/1,19558184,-92
2024/4/2,19557843,-201
2024/4/3,19561203,3210
2024/4/4,19568068,6850
2024/4/5,19574253,6047
2024/4/6,19577539,3196
2024/4/7,19577384,-130
2024/4/8,19578312,914
2024/4/9,19579388,1112
2024/4/10,19580437,1065
2024/4/11,19582615,2211
2024/4/12,19623169,40154
2024/4/13,19629168,5964
2024/4/14,19633973,4945
2024/4/15,19634652,664
2024/4/16,19635791,1188
2024/4/17,19638343,2526
2024/4/18,19640087,1829
2024/4/19,19645087,4476
2024/4/20,19654048,7773
2024/4/21,19660095,6025
2024/4/22,19659728,-215
2024/4/23,19660299,437
2024/4/24,19659758,38
2024/4/25,19661352,1272
2024/4/26,19661367,910
2024/4/27,19672096,7671
2024/4/28,19675040,2393
2024/4/29,19674739,1458
2024/4/30,19679048,3174
